county,county_population,covid_cases_per_100k
Garza County,398656.0,5105.15
Gasconade County,941184.0,6031.6
Gaston County,14369856.0,8012.78
Gates County,739968.0,5751.63
Geary County,2026880.0,7893.91
Geauga County,5993536.0,5305.97
Gem County,1159168.0,4444.49
Genesee County,29637952.0,12804.34
Geneva County,1681344.0,7163.75
Gentry County,420544.0,9207.17
George County,1568000.0,6575.47
Georgetown County,4011520.0,6667.16
Gibson County,5298688.0,19452.03
Gila County,3457152.0,9189.53
Gilchrist County,1189248.0,6683.89
Giles County,2955776.0,17433.5
Gillespie County,1727232.0,4361.2
Gilliam County,122368.0,3085.7599999999998
Gilmer County,2508288.0,12149.56
Gilpin County,399552.0,3043.44
Glacier County,880192.0,9554.25
Glades County,883904.0,2606.55
Gladwin County,1628736.0,5548.29
Glascock County,190144.0,4274.7
Glasscock County,90176.0,2767.88
Glenn County,1817152.0,5187.93
Gloucester County,21054976.0,15081.92
Glynn County,5458688.0,5825.86
Gogebic County,894400.0,8844.4
Golden Valley County,165248.0,6485.21
Goliad County,490112.0,5588.92
Gonzales County,1333568.0,3666.57
Goochland County,1520192.0,8681.02
Goodhue County,2965760.0,6655.14
Gooding County,971456.0,7938.62
Gordon County,3709632.0,7867.08
Goshen County,845504.0,8538.36
Gosper County,127360.0,5577.86
Gove County,168704.0,7245.87
Grady County,5125255.0,11960.99
Grafton County,5752704.0,8056.85
Graham County,3184640.0,24416.329999999998
Grainger County,1492480.0,7512.81
Grand County,1631232.0,7256.61
Grand Forks County,4444864.0,8198.63
Grand Isle County,463040.0,5984.82
Grand Traverse County,5957632.0,5458.28
Granite County,216256.0,4853.43
Grant County,21190819.0,101860.27
Grant Parish,1432896.0,8142.39
Granville County,3868352.0,9413.82
Gratiot County,2605504.0,7059.52
Graves County,2385024.0,4977.73
Gray County,1783936.0,9050.11
Grays Harbor County,4803904.0,6152.29
Grayson County,11404096.0,23349.59
Greeley County,229632.0,9365.44
Green County,3065664.0,18417.61
Green Lake County,1210432.0,7814.74
Greenbrier County,2218368.0,12192.12
Greene County,50849664.0,94771.46
Greenlee County,607872.0,6738.28
Greensville County,725504.0,7392.34
Greenup County,2246272.0,11741.38
Greenville County,33506688.0,6999.43
Greenwood County,4914752.0,14506.27
Greer County,365568.0,6162.51
Gregg County,7932480.0,3645.96
Gregory County,267840.0,4324.85
Grenada County,1328512.0,4605.46
Griggs County,142784.0,6095.92
Grimes County,1848320.0,6578.94
Grundy County,5540032.0,28525.5
Guadalupe County,10953408.0,14083.91
Guam,8981489.0,9915.77
Guayama Muni,2525760.0,20777.94
Guayanilla Muni,1127872.0,23963.01
Guaynabo Muni,5358592.0,20226.21
Guernsey County,2488000.0,9041.81
Guilford County,34379136.0,8462.99
Gulf County,872896.0,5872.83
Gunnison County,1117568.0,3865.55
Gurabo Muni,3013952.0,17607.73
Guthrie County,684096.0,4406.43
Guánica Muni,984512.0,17506.36
Gwinnett County,59920000.0,5811.04
Haakon County,121536.0,4897.38
Habersham County,2855664.0,4125.51
Haines Borough,161920.0,11541.58
Hale County,3075648.0,14598.32
Halifax County,5370944.0,19255.05
Hall County,16996071.0,24812.13
Hamblen County,4155776.0,8651.77
Hamilton County,101462080.0,56738.24
Hamlin County,394496.0,5678.15
Hampden County,29847808.0,9107.76
Hampshire County,11776320.0,16255.550000000001
Hampton City,8608640.0,9046.91
Hampton County,1230208.0,5795.41
Hancock County,21565672.0,67001.75
Hand County,204224.0,4105.32
Hanover County,6897024.0,7801.15
Hansford County,345536.0,8872.01
Hanson County,220992.0,3011.84
Haralson County,1906688.0,3272.7200000000003
Hardee County,1723968.0,6808.46
Hardeman County,1854912.0,11906.86
Hardin County,15733964.0,47093.79
Harding County,121774.0,6494.89
Hardy County,881664.0,12383.85
Harford County,16348224.0,5188.24
Harlan County,1880960.0,14771.16
Harmon County,169792.0,15755.710000000001
Harnett County,8702464.0,8223.51
Harney County,473152.0,5951.62
Harper County,583936.0,9577.23
Harris County,303907904.0,9635.55
Harrison County,26814277.0,54258.3
Harrisonburg City,3393024.0,6141.56
Hart County,2895360.0,9766.47
Hartford County,57070080.0,6729.21
Hartley County,356864.0,3515.0499999999997
Harvey County,2203456.0,7711.49
Haskell County,1424192.0,15248.27
Hatillo Muni,2509952.0,19457.94
Hawaii County,12896832.0,8403.4
Hawkins County,3634304.0,10312.39
Hayes County,59008.0,5206.08
Hays County,14732224.0,8949.1
Haywood County,5095744.0,20101.1
Heard County,763072.0,3723.91
Hemphill County,244416.0,10447.67
Hempstead County,1378048.0,5698.53
Henderson County,17928128.0,35849.23
Hendricks County,10899904.0,4605.6900000000005
Hendry County,2689408.0,5278.2
Hennepin County,81013952.0,7777.66
Henrico County,21172352.0,9449.89
Henry County,33003075.0,75503.82
Herkimer County,3924416.0,7115.23
Hernando County,12410880.0,6621.27
Hertford County,1515328.0,7361.6
Hettinger County,157437.0,6562.67
Hickman County,1891712.0,12253.48
Hickory County,610816.0,6789.6
Hidalgo County,55865920.0,16792.55
Highland County,2902464.0,14412.87
Highlands County,6798144.0,6961.89
Hill County,3400512.0,10731.99
Hillsborough County,120895552.0,14690.84
Hillsdale County,2918720.0,6036.64
Hinds County,14837760.0,6782.25
Hinsdale County,52480.0,4024.35
Hitchcock County,176768.0,6299.86
Hocking County,1808896.0,8148.15
Hockley County,1473344.0,8566.07
Hodgeman County,114816.0,6131.53
Hoke County,3534976.0,9090.39
Holmes County,5157568.0,12058.81
Holt County,926080.0,13128.21
Honolulu County,62372032.0,10053.83
Hood County,3945152.0,3223.44
Hood River County,1496448.0,5688.150000000001
Hooker County,43648.0,3372.47
Hoonah-Angoon CA,90216.0,9869.55
Hoonah-Angoon Census Area,47256.0,13966.44
Hopewell City,1441856.0,9325.75
Hopkins County,5233280.0,14222.45
Hormigueros Muni,993152.0,22631.81
Horry County,22661184.0,7439.22
Hot Spring County,2161344.0,6718.76
Hot Springs County,282432.0,7840.41
Houghton County,2283776.0,5955.03
Houston County,20064896.0,33156.07
Howard County,30957056.0,43030.13
Howell County,2567488.0,6169.45
Hubbard County,1375424.0,6542.3
Hudson County,43033024.0,11002.69
Hudspeth County,312704.0,4666.42
Huerfano County,441408.0,5640.16
Hughes County,1971520.0,10489.51
Humacao Muni,3241792.0,20962.25
Humboldt County,10364608.0,17990.97
Humphreys County,1705344.0,12369.52
Hunt County,6310016.0,4505.35
Hunterdon County,7959744.0,8909.67
Huntingdon County,2889216.0,6016.32
Huntington County,2337280.0,8362.51
Huron County,5711808.0,12922.66
Hutchinson County,1806656.0,10464.11
Hyde County,399232.0,14696.3
Iberia Parish,4469120.0,7963.6
Iberville Parish,2080704.0,9187.63
Ida County,439040.0,5758.01
Idaho County,1066688.0,4457.99
Imperial County,11597760.0,15152.7
Independence County,2420800.0,6553.9
Indian River County,10235072.0,6884.55
Indiana County,5380672.0,6200.54
Ingham County,18713984.0,8171.15
Inyo County,1154496.0,9368.539999999999
Ionia County,4140608.0,6264.64
Iosco County,1608128.0,4182.84
Iowa County,2551168.0,14481.0
Iredell County,11635584.0,8029.41
Irion County,98304.0,11588.52
Iron County,5229888.0,26383.2
Iroquois County,1735296.0,6977.94
Irwin County,602624.0,4173.67
Isabela Muni,2587072.0,20908.920000000002
Isabella County,4471808.0,4247.79
Isanti County,2598144.0,4663.09
Island County,5449024.0,4839.0599999999995
Isle of Wight County,2374976.0,5737.110000000001
Issaquena County,84928.0,3466.5
Itasca County,2888320.0,6811.42
Itawamba County,1496960.0,8794.39
Izard County,872256.0,6669.6
Jack County,571840.0,2350.28
Jackson County,112109105.0,159649.93
Jackson Parish,1007616.0,8803.33
James City County,4897472.0,9335.76
Jasper County,19064896.0,49103.85
Jay County,1307904.0,6062.81
Jayuya Muni,889024.0,27787.77
Jeff Davis County,1112896.0,6495.69
Jefferson County,206247808.0,168454.78
Jefferson Davis County,712192.0,7216.08
Jefferson Davis Parish,2007552.0,4396.2
Jefferson Parish,27679552.0,7014.88
Jenkins County,555264.0,3699.88
Jennings County,1775040.0,5130.72
Jerauld County,128832.0,5315.46
Jerome County,1562368.0,8471.22
Jersey County,1393472.0,8354.36
Jessamine County,3463360.0,6541.63
Jewell County,184256.0,6634.22
Jim Hogg County,332800.0,27134.56
Jim Wells County,2590848.0,8398.8
Jo Daviess County,1359040.0,6348.0
Johnson County,79575700.0,78930.83
Johnston County,14107136.0,18335.74
Jones County,9466816.0,34335.22
Josephine County,5599168.0,6320.93
Juab County,769088.0,3686.45
Juana Díaz Muni,2859456.0,21484.37
Judith Basin County,128448.0,3587.53
Juncos Muni,2441920.0,19515.15
Juneau City and Borough,703428.0,8469.37
Juneau County,1707968.0,7587.99
Juneau Cty&Bor,1342908.0,4456.76
Juniata County,1584832.0,4474.42
Kalamazoo County,16964224.0,7276.68
Kalawao County,5504.0,0.0
Kalkaska County,1154432.0,6170.31
Kanabec County,1045568.0,5949.67
Kanawha County,11399936.0,7875.96
Kandiyohi County,2764736.0,6993.19
Kane County,34578496.0,12271.61
Kankakee County,7031168.0,7798.88
Karnes County,998464.0,6967.55
Kauai County,4626752.0,10806.03
Kaufman County,8713856.0,6233.37
Kay County,2786432.0,9146.06
Kearney County,415680.0,5234.83
Kearny County,245632.0,4455.58
Keith County,514176.0,4879.26
Kemper County,623488.0,4885.96
Kenai Peninsula Borough,3757312.0,9104.39
Kendall County,11290944.0,13475.13
Kenedy County,25856.0,7178.150000000001
Kennebec County,7827328.0,8981.84
Kenosha County,10851904.0,8280.19
Kent County,65421888.0,34010.81
Kenton County,10687872.0,5925.84
Keokuk County,655744.0,4636.0
Kern County,57612928.0,8877.11
Kerr County,3366400.0,3484.7599999999998
Kershaw County,4259264.0,10673.0
Ketchikan Gateway Borough,875763.0,10560.35
Kewaunee County,1307776.0,5324.5199999999995
Keweenaw County,135424.0,8317.63
Keya Paha County,51584.0,3225.8199999999997
Kidder County,158720.0,4596.79
Kimball County,232448.0,4240.05
Kimble County,277568.0,6525.21
King County,144195456.0,14042.3
King George County,1717504.0,7773.16
King William County,1097472.0,6735.46
King and Queen County,449600.0,5594.21
Kingfisher County,1008960.0,5994.28
Kingman County,457728.0,5774.58
Kings County,173621952.0,21061.77
Kingsbury County,316096.0,5993.179999999999
Kinney County,234688.0,3108.7799999999997
Kiowa County,805696.0,15061.14
Kit Carson County,454208.0,3762.1400000000003
Kitsap County,17374272.0,5482.31
Kittitas County,3067840.0,4881.57
Kittson County,275072.0,5909.73
Klamath County,4230756.0,6386.44
Kleberg County,1963520.0,8200.75
Klickitat County,1435200.0,4022.29
Knott County,947584.0,12177.47
Knox County,45171200.0,66163.78
Kodiak Island Borough,831872.0,8909.1
Koochiching County,782656.0,9330.28
Kootenai County,10604608.0,5573.42
Kosciusko County,5085184.0,4329.45
Kossuth County,948032.0,6825.070000000001
Kusilvak Census Area,532096.0,17260.03
La Crosse County,7553024.0,8739.46
La Paz County,1350912.0,5126.06
La Plata County,3598144.0,6006.7
La Salle County,481280.0,5531.98
LaGrange County,2535296.0,1961.39
LaMoure County,258944.0,5585.78
LaPorte County,7032832.0,6158.88
LaSalle County,6954816.0,8475.28
LaSalle Parish,953088.0,6493.55
Labette County,1255552.0,8155.79
Lac qui Parle County,423872.0,7836.3
Lackawanna County,13419136.0,8300.0
Laclede County,2286272.0,4938.01
Lafayette County,7580032.0,27037.94
Lafayette Parish,15640960.0,7770.8
Lafourche Parish,6247296.0,7982.46
Lajas Muni,1408640.0,22203.579999999998
Lake County,123660550.0,75412.09
Lake and Peninsula Borough,101888.0,18467.31
Lake of the Woods County,239360.0,5160.48
Lamar County,9349376.0,27833.4
Lamb County,825152.0,7880.25
Lamoille County,1623168.0,4932.59
Lampasas County,1371392.0,4545.43
Lancaster County,62299456.0,26762.14
Lander County,354048.0,4049.17
Lane County,24550528.0,12159.94
Langlade County,1228096.0,8801.91
Lanier County,667072.0,4490.07
Lapeer County,5606848.0,5253.0
Laramie County,6368000.0,6383.98
Lares Muni,1553664.0,33877.08
Larimer County,22841536.0,8331.23
Larue County,921472.0,6778.72
Las Animas County,928384.0,6859.25
Las Marías Muni,507328.0,24271.53
Las Piedras Muni,2368448.0,20874.38
Lassen County,1956672.0,6267.0199999999995
Latah County,2566912.0,2984.44
Latimer County,644672.0,5499.91
Lauderdale County,12319168.0,20046.99
Laurel County,3892032.0,9994.53
Laurens County,7362496.0,12893.88
Lavaca County,1289856.0,4217.51
Lawrence County,25062208.0,82305.38
Le Flore County,3190592.0,7217.19
Le Sueur County,1848768.0,4538.39
Lea County,4548480.0,5785.87
Leake County,1458304.0,5507.76
Leavenworth County,5232512.0,6812.78
Lebanon County,9074752.0,6985.52
Lee County,80177742.0,87302.05
Leelanau County,1392704.0,4595.37
Leflore County,1803712.0,4697.87
Lehigh County,23636352.0,6471.65
Lemhi County,513728.0,7287.94
Lenawee County,6300864.0,7475.81
Lenoir County,3580736.0,9031.46
Leon County,19903104.0,14162.41
Leslie County,632128.0,14670.45
Letcher County,1357839.0,12814.96
Levy County,2656192.0,6582.68
Lewis County,10372288.0,53248.36
Lewis and Clark County,4443648.0,7152.32
Lexington City,476544.0,8353.460000000001
Lexington County,19120000.0,9997.63
Liberty County,10262080.0,25014.21
Licking County,11319168.0,6980.05
Limestone County,7830528.0,13036.21
Lincoln County,39540864.0,142205.93
Lincoln Parish,2991488.0,8786.59
Linn County,24185072.0,27245.89
Lipscomb County,206912.0,6031.5
Litchfield County,11541312.0,5641.75
Little River County,784576.0,5962.96
Live Oak County,781248.0,2637.8
Livingston County,20158592.0,34536.23
Livingston Parish,9010496.0,7688.77
Llano County,1394880.0,6148.22
Logan County,14762246.0,74540.8
Long County,1251776.0,4059.5299999999997
Lonoke County,4691776.0,6408.48
Lorain County,19829312.0,8241.87
Los Alamos County,1239616.0,10465.15
Los Angeles County,642502848.0,9790.97
Loudon County,3460352.0,9120.0
Loudoun County,26466432.0,8261.85
Louisa County,3112064.0,13879.37
Loup County,42496.0,3915.64
Love County,656192.0,10416.51
Loving County,10816.0,147337.29
Lowndes County,11886528.0,20510.66
Loíza Muni,1571392.0,11367.26
Lubbock County,19876416.0,7134.35
Lucas County,27964672.0,14139.65
Luce County,398656.0,4880.4
Lumpkin County,2117430.0,5786.98
Luna County,1517376.0,6478.59
Lunenburg County,780544.0,9585.12
Luquillo Muni,1130560.0,17163.88
Luzerne County,20314688.0,7404.13
Lycoming County,7251136.0,6505.78
Lyman County,241984.0,6479.77
Lynchburg City,5258752.0,8037.179999999999
Lynn County,380864.0,5780.5199999999995
Lyon County,8713216.0,29317.45
Mackinac County,691136.0,6648.68
Macomb County,55934208.0,9469.05
Macon County,13478464.0,45840.96
Macoupin County,2875264.0,8253.52
Madera County,10068928.0,8747.42
Madison County,89896960.0,126025.12
Madison Parish,700864.0,6647.74
Magoffin County,766143.0,9530.51
Mahaska County,1414080.0,6358.94
Mahnomen County,353728.0,11163.37
Mahoning County,14635712.0,6901.25
Major County,488256.0,17970.9
Malheur County,1956544.0,5622.97
Manassas City,2629440.0,7922.59
Manassas Park City,1118592.0,12272.57
Manatee County,25808192.0,7357.89
Manatí Muni,2386368.0,19964.08
Manistee County,1571712.0,5501.25
Manitowoc County,5054784.0,6704.09
Marathon County,8684288.0,8533.31
Marengo County,1207232.0,5858.0
Maricao Muni,347520.0,20883.97
Maricopa County,287066496.0,6938.02
Maries County,556608.0,4852.24
Marin County,16564864.0,8193.58
Marinette County,2582400.0,8324.67
Marion County,132807462.0,117990.25
Mariposa County,1100992.0,7272.0
Marlboro County,1671552.0,8507.57
Marquette County,5265472.0,13878.539999999999
Marshall County,23427072.0,74454.42
Martin County,14742016.0,38822.23
Martinsville City,790902.0,13278.67
Mason County,10056384.0,44314.18
Massac County,881408.0,6585.84
Matagorda County,2345152.0,6426.88
Matanuska-Susitna Borough,6932288.0,6963.83
Mathews County,565376.0,7720.24
Maui County,10714688.0,8816.32
Maunabo Muni,660544.0,20782.88
Maury County,6168768.0,7261.34
Maverick County,3758208.0,6610.83
Mayagüez Muni,4577920.0,19814.04
Mayes County,2630400.0,8377.12
McClain County,2590336.0,8956.38
McCone County,106496.0,4567.33
McCook County,357504.0,3598.29
McCormick County,605632.0,5780.400000000001
McCracken County,4186752.0,6356.01
McCreary County,1102784.0,11920.4
McCulloch County,510976.0,9281.17
McCurtain County,2101248.0,5881.49
McDonald County,1461568.0,4777.35
McDonough County,1899648.0,7398.47
McDowell County,4056320.0,22982.46
McDuffie County,1363968.0,5475.79
McHenry County,20065216.0,13819.23
McIntosh County,2331647.0,22737.77
McKean County,2600000.0,4785.23
McKenzie County,961536.0,3188.23
McKinley County,4567488.0,12416.119999999999
McLean County,12171136.0,21740.05
McLennan County,16423872.0,7788.88
McLeod County,2297152.0,8121.38
McMinn County,3442816.0,6978.5
McMullen County,47552.0,3499.34
McNairy County,1618722.0,8838.6
McPherson County,2010560.0,15296.43
Meade County,3899968.0,16734.25
Meagher County,119168.0,10741.17
Mecklenburg County,73020352.0,15677.86
Mecosta County,2780992.0,4436.95
Medina County,14805120.0,11744.74
Meeker County,1486208.0,6536.97
Meigs County,2261056.0,16399.72
Mellette County,131904.0,7423.56
Menard County,917376.0,16946.32
Mendocino County,5551936.0,7519.42
Menifee County,415296.0,12051.13
Menominee County,1749504.0,20878.01
Merced County,17771520.0,8466.19
Mercer County,40061312.0,62642.39
Meriwether County,1354688.0,5640.87
Merrick County,496320.0,6434.42
Merrimack County,9689024.0,6449.51
Mesa County,9869440.0,6501.53
Metcalfe County,644544.0,7615.9400000000005
Miami County,11311360.0,17574.46
Miami-Dade County,173884160.0,13894.62
Middlesex County,167025856.0,33444.95
Midland County,16639232.0,13039.96
Mifflin County,2952832.0,6981.22
Milam County,1588672.0,4745.6
Millard County,844032.0,3571.46
Mille Lacs County,1681728.0,5674.19
Miller County,4774016.0,16626.49
Mills County,1278848.0,8609.44
Milwaukee County,60526464.0,8531.68
Miner County,141824.0,4106.59
Mineral County,2338496.0,40801.28
Mingo County,1499136.0,10621.6
Minidoka County,1346496.0,5561.09
Minnehaha County,12360576.0,4843.31
Missaukee County,967552.0,5040.29
Mississippi County,3404533.0,17985.5
Missoula County,7654400.0,6712.38
Mitchell County,3942105.0,29918.32
Mobile County,26445440.0,6070.26
Moca Muni,2233024.0,23584.86
Modoc County,565824.0,4863.64
Moffat County,850112.0,5593.68
Mohave County,13579584.0,5540.08
Moniteau County,1032448.0,4097.49
Monmouth County,39602880.0,10506.88
Mono County,924416.0,4043.24
Monona County,551360.0,4933.28
Monongalia County,6759168.0,7823.96
Monroe County,99248076.0,119213.3
Montague County,1268352.0,4359.7
Montcalm County,4088832.0,5301.5
Monterey County,27779904.0,8079.32
Montezuma County,1675712.0,6779.24
Montgomery County,243142797.0,120319.1
Montmorency County,596992.0,3634.11
Montour County,1166720.0,9023.55
Montrose County,2736512.0,4677.45
Moody County,420864.0,5170.2699999999995
Moore County,8211712.0,22251.96
Mora County,289344.0,5927.97
Morehouse Parish,1591936.0,8088.72
Morgan County,23809600.0,79208.01
Morovis Muni,1941440.0,17145.22
Morrill County,297088.0,6678.07
Morris County,32630592.0,20661.8
Morrison County,2136704.0,7233.62
Morrow County,3003584.0,9675.01
Morton County,2172864.0,12712.6
Motley County,76800.0,5166.62
Moultrie County,928064.0,6496.11
Mountrail County,674880.0,7510.66
Mower County,2563968.0,5938.26
Muhlenberg County,1959808.0,8611.49
Multnomah County,52022720.0,8014.71
Murray County,3991232.0,20443.72
Muscatine County,2730496.0,4408.88
Muscogee County,12529216.0,4568.65
Muskegon County,11108224.0,6004.68
Muskingum County,5517760.0,8301.369999999999
Muskogee County,4351808.0,7737.1
Musselshell County,296512.0,4662.14
Nacogdoches County,4173056.0,5275.75
Naguabo Muni,1648704.0,16983.01
Nance County,225216.0,5740.23
Nantucket County,729536.0,6228.61
Napa County,8815616.0,7800.69
Naranjito Muni,1750336.0,19872.72
Nash County,6035072.0,6938.61
Nassau County,92515136.0,18292.56
Natchitoches Parish,2442112.0,8142.45
Natrona County,5110912.0,5067.75
Navajo County,7099136.0,10912.86
Navarro County,3207232.0,5000.72
Nelson County,4098688.0,21467.99
Nemaha County,1100992.0,10834.23
Neosho County,1024448.0,6946.96
Neshoba County,1863552.0,8094.64
Ness County,176000.0,5490.84
Nevada County,6912448.0,13971.7
New Castle County,35760192.0,7939.99
New Hanover County,15006272.0,7175.24
New Haven County,54704448.0,7561.65
New Kent County,1477824.0,6790.5199999999995
New London County,16973184.0,7556.0
New Madrid County,1092864.0,7144.55
New York County,104237184.0,12383.4
Newaygo County,3134720.0,5302.12
Newberry County,2460160.0,9050.5
Newport County,5253248.0,8847.23
Newport News City,11470400.0,8185.26
Newton County,14485120.0,28210.95
Nez Perce County,2586112.0,4865.34
Niagara County,13393984.0,6539.56
Nicholas County,2032960.0,17827.54
Nicollet County,2193536.0,6529.72
Niobrara County,150784.0,9634.9
Noble County,4691136.0,17755.99
Nobles County,1384256.0,6519.01
Nodaway County,1413888.0,6767.17
Nolan County,941696.0,3839.86
Nome CA,420168.0,13304.7
Nome Census Area,220088.0,13264.69
Norfolk City,15535488.0,5580.39
Norfolk County,45233600.0,6612.85
Norman County,408000.0,5725.51
North Slope Borough,629248.0,11960.92
Northampton County,21534592.0,22974.68
Northumberland County,6588032.0,12306.05
Northwest Arctic Borough,487744.0,26269.52
Norton City,254784.0,14669.68
Norton County,343104.0,6304.81
Nottoway County,974848.0,12237.4
Nowata County,644864.0,5567.67
Noxubee County,666688.0,8284.57
Nuckolls County,265472.0,5810.06
Nueces County,23186816.0,6906.82
Nye County,2977472.0,5214.68
O'Brien County,880192.0,3737.3599999999997
Oakland County,80485376.0,8856.09
Obion County,1924416.0,10342.89
Ocean County,38859904.0,9723.05
Oceana County,1693888.0,6377.8
Ochiltree County,629504.0,6293.2
Oconee County,7668864.0,11283.27
Oconto County,2427520.0,5918.79
Ogemaw County,1343808.0,4276.81
Oglala Lakota County,907328.0,9578.89
Ogle County,3241152.0,7781.92
Oglethorpe County,976576.0,3899.3
Ohio County,4561920.0,19431.97
Okaloosa County,13487232.0,5453.74
Okanogan County,2703552.0,6285.0599999999995
Okeechobee County,2698752.0,4726.33
Okfuskee County,767552.0,6678.89
Oklahoma County,51035776.0,7263.04
Okmulgee County,2461760.0,6268.06
Oktibbeha County,3173568.0,5307.87
Oldham County,4410304.0,12466.24
Oliver County,125376.0,2807.6099999999997
Olmsted County,10130752.0,9179.18
Oneida County,17203008.0,20411.96
Onondaga County,29473792.0,8510.04
Onslow County,12668032.0,7731.75
Ontario County,7025728.0,6941.37
Ontonagon County,366080.0,7395.18
Orange County,337378880.0,60890.32
Orangeburg County,5515200.0,7647.21
Oregon County,673856.0,5138.22
Orleans County,4312896.0,13614.68
Orleans Parish,24969216.0,7330.66
Orocovis Muni,1294080.0,20454.98
Osage County,4897728.0,19070.2
Osborne County,218944.0,7863.14
Osceola County,25930816.0,18668.75
Oscoda County,527424.0,3543.2
